categoryId,subCategoryId,itemId,item,donateAndReuse,curbSidePickup,transferStation,inGarbage,reuse,dropOffLocations,hazWasteFacility,hazNoCharge,donate,warning,caution,inRecycling,didYouKnow,inFoodAndYardWaste,inRecyclingRinseFirst,nextToBinNoCharge,corporateTakeBackPrograms,pickup,hazardous,nextToBin,recycleNextToBinNoCharge,,,,
1,1,1,Air Conditioners or Heat Pumps,"Donate air conditioners or heat pumps in good condition to local thrift stores. Call first to determine acceptance policies.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.","Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bag, bundle, or can is a charge of $11.55. Each bulky item is a charge of $30.","Bring damaged air conditioners and heat pumps to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.
",,,,,,,,,,,,,,,,,,,,,,
1,1,2,Blenders,"Donate blenders in good condition to local thrift stores.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.
",,Some small household appliances can be recycled as scrap metal for free at city transfer stations.,"Damaged toasters, blenders, food processors and mixers can go in the garbage.
",,,,,,,,,,,,,,,,,,,,,
1,1,3,Food Processors,"Donate food processors in good condition to local thrift stores.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,Some small household appliances can be recycled as scrap metal for free at city transfer stations.,"Damaged toasters, blenders, food processors and mixers can go in the garbage.",,,,,,,,,,,,,,,,,,,,,
1,1,4,Mixers,"Donate mixers in good condition to local thrift stores. Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,Some small household appliances can be recycled as scrap metal for free at city transfer stations.,"Damaged toasters, blenders, food processors and mixers can go in the garbage.",,,,,,,,,,,,,,,,,,,,,
1,1,5,Other Large Appliances,,"Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bag, bundle, or can is a charge of $11.55. Each bulky item is a charge of $30.","Bring up to 2 residential appliances per visit to city transfer stations. Charge is $30 ($38 for items containing CFCs).
",,"Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,,,,,,,,,,,,,,,,,,,
1,1,6,Refrigerators or Freezers,,"You must remove doors and latches from refrigerators and freezers.

Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bundle of yard waste is a charge of $5.90.","Bring up to 2 residential refrigerators and freezers per visit to city transfer stations. Charge is $30 ($38 for items containing CFCs).

You must remove doors and latches from refrigerators and freezers.
",,"Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,,,,,,,,,,,,,,,,,,,
1,1,7,Stoves,,"Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bag, bundle, or can is a charge of $11.55. Each bulky item is a charge of $30.",Bring up to 2 residential appliances per visit to city transfer stations. Charge is $30 ($38 for items containing CFCs).,,"Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.
",,,,,,,,,,,,,,,,,,,,
1,1,8,Toasters,"Donate toasters in good condition to local thrift stores.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,"Some small household appliances can be recycled as scrap metal for free at city transfer stations.
","Damaged toasters, blenders, food processors and mixers can go in the garbage.",,,,,,,,,,,,,,,,,,,,,
1,1,9,Washers or Dryers,,"Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bag, bundle, or can is a charge of $11.55. Each bulky item is a charge of $30.
",Bring up to 2 residential appliances per visit to city transfer stations. Charge is $30 ($38 for items containing CFCs).,,"Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.
",,,,,,,,,,,,,,,,,,,,
1,1,10,Water Heaters,,"Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bag, bundle, or can is a charge of $11.55. Each bulky item is a charge of $30.","Bring water heaters to city transfer stations:

Fees apply for water heaters with insulation.
There is no fee for water heaters with all insulation removed.",,"Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.
",,,,,,,,,,,,,,,,,,,,
1,2,1,Alkaline Batteries,,,,"Non-rechargeable, household alkaline batteries (such as AAA, AA, C, D, or 9-volt) can go in the garbage.",,"
Bring alkaline batteries to city transfer stations. No fee.

Bring alkaline batteries to a household hazardous waste facility where the materials in the batteries will be reclaimed and recycled. No fee.","Bring alkaline batteries and rechargeable batteries to a household hazardous waste facility, where the materials in the batteries will be reclaimed and recycled. No fee.",,,,,,,,,,,,,,,,,,
1,2,2,Camera or Watch Batteries,,,,"Button cell batteries used in watches and some older camera models can go in the garbage.

Button cell batteries are also used for:

Digital thermometers
Pocket calculators
Hearing aids",,,"Bring camera and watch button cell batteries to a household hazardous waste facility, where the metals and very small amount of hazardous metals in the batteries will be reclaimed and recycled. No fee.
",,,,,,,,,,,,,,,,,,
1,2,3,Computer Batteries,,,,,,,,"Bring camera and watch button cell batteries to a household hazardous waste facility, where the metals and very small amount of hazardous metals in the batteries will be reclaimed and recycled. No fee.
",,,,,,,,,,,,,,,,,
1,2,4,Cell Phone Batteries,,,,,,,,"Bring rechargeable and lithium-ion batteries to a household hazardous waste facility. No fee.

They can’t go in the garbage.",Find drop off and mail back recycling options at Call2Recycle outlet.,,,,,,,,,,,,,,,,
1,2,5,Hearing Aid Batteries,,,,Hearing aid batteries can go in the garbage.,,Some locations that sell hearing aid batteries will take them back for recycling.,,,,,,,,,,,,,,,,,,,
1,2,6,Lithium Batteries,,,,"Disposable lithium batteries (small, button batteries) can go in the garbage.

These batteries are different than rechargeable lithium-ion batteries, which can’t go in the garbage.",,"Bring lithium batteries to city transfer stations. No fee.

Bring lithium batteries to a household hazardous waste facility where the materials in the batteries will be reclaimed and recycled. No fee.

Find drop off and mail back recycling options at Call2Recycle outlet.",,,,Lithium batteries can not go in the garbage or recycling cart,,,,,,,,,,,,,,,
1,2,7,Rechargeable Batteries,,,,,,"Bring rechargeable batteries to city transfer stations. No fee.

Bring rechargeable batteries to a household hazardous waste facility where the materials in the batteries will be reclaimed and recycled. No fee.

Find drop off and mail back recycling options at Call2Recycle outlet.
",,,,Rechargeable batteries can not go in the garbage or recycling cart,,,,,,,,,,,,,,,
1,2,8,Rechargeable Appliances,"Donate rechargeable appliances in working condition to local thrift stores or find drop off and mail back recycling options at Call2Recycle outlet.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.
",,,"Appliances with the rechargeable batteries removed can go in the garbage.
",,,,"Remove rechargeable and lithium-ion batteries from appliances and bring the batteries to a household hazardous waste facility. No fee.

They can’t go in the garbage.",,,,,,,,,,,,,,,,,
1,2,9,Car or Lead-Acid Batteries,,,,,,"Bring vehicle batteries to city transfer stations. Fees apply.

Bring up to 5 vehicle batteries per trip to a household hazardous waste facility. No fee.
",,,,,,,,,,,,,,,,,,,
1,3,1,Disposable Diapers,,,,"Put all disposable (even if marked ""compostable"") diapers in a bag, tie off, and place in garbage.",,,,,,,,,,,,,,,,,,,,,
1,3,2,Dryer Sheets,,,,"
Dryer sheets go in the garbage. They are made from polyester substrate and can’t be recycled or composted.
",,,,,,,,,,,,,,,,,,,,,
1,3,3,Flushable Wipes,,,,"Baby wipes, wet wipes, cleaning wipes, and any wipes labeled “flushable” go in your garbage.

If flushed down your toilet, they can clog your sewer pipes.",,,,,,,,,,,,,,,,,,,,,
1,3,4,Mercury Thermometers,,,,,,,,"Mercury items can’t go in the garbage. Bring thermometers, thermostats, and other items containing mercury to a household hazardous waste facility. No fee.",,,"Mercury can greatly harm your nervous, digestive, and respiratory systems. Don’t handle mercury directly, and try to avoid breaking items that contain mercury.
",,,,,,,,,,,,,,
1,3,5,"Metal Sinks, Tubs or Fixtures","You can often donate or resell sinks, tubs, and fixtures to building supply stores that specialize in salvage materials.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.","Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bag, bundle, or can is a charge of $11.55. Each bulky item is a charge of $30.","Bring metal sinks, tubs, and fixtures less than 8 feet on all sides to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.
",,,,,,,,,"Metal sinks and fixtures go in the recycling:

They must be between 3 inches and 2 feet on all sides.
Small amounts of plastic, wood, or rubber can be attached.
Don’t exceed the weight limits printed on your bin.",,,,,,,,,,,,,
1,3,6,Mirrors,"Donate mirrors in working condition to local thrift stores.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.

Some building supply or second use stores accept mirrors.",,,"Mirrors can go in the garbage:

Items must fit in your bin with the lid closed.
Don’t exceed the weight limits printed on your bin.",,,,,,,,,,,,,,,,,,,,,
1,3,7,"Porcelain Sinks, Toilets or Tubs","You can often donate or resell sinks, toilets, and tubs to building supply stores that specialize in salvage materials.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,"Bring porcelain sinks, toilets, and tubs to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.","
Porcelain sinks and fixtures can go in the garbage if they don’t exceed the weight limits printed on your bin.
",,,,,,,,,,,,,,,,,,,,,
1,4,1,Bed Frames,"Donate bed frames in good condition to local thrift stores.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.","Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bag, bundle, or can is a charge of $11.55. Each bulky item is a charge of $30.",Bring bed frames to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.,,,,,,,,,,,,,,,,,,,,,,
1,4,2,Bedding or Linens,,,,"Bedding, linens, towels, and other fabrics can go in the garbage.",,,,,"Stained, worn out, ripped, or damaged bedding, linens, towels, and other fabrics can be turned into new products through Threadcycle. Some local thrift and second-hand stores are partners and will accept these items at their regular collection or drop box locations.",,,,,,,,,,,,,,,,
1,4,3,Clothes or Shoes,,,,Clothes and shoes can go in the garbage.,,"Stained, worn out, ripped, or damaged clothing and shoes can be turned into new products through Threadcycle. Some local thrift and second-hand stores are partners and will accept these items at their regular collection or drop box locations.",,,,,,,,,,,,,,,,,,,
1,4,4,Mattresses or Futons,,"Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bag, bundle, or can is a charge of $11.55. Each bulky item is a charge of $30.","
Bring mattresses and futons to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.",,,,,,Donate futon frames in good condition to local thrift stores. Mattresses and futons are generally not accepted at thrift stores.,,,,,,,,,,,,,,,,
1,4,5,Plastic Clothes Hangers,,,,"
Plastic clothes hangers go in the garbage. They can’t be recycled.",,,,,Donate plastic clothes hangers in good condition to local thrift stores.,,,,,,,,,,,,,,,,
1,4,6,Wire Clothes Hangers,,,,"Wire clothes hangers can go in the garbage.
",,,,,"Donate wire clothes hangers in good condition to local thrift stores.

Check with local dry cleaners. They may accept wire hangers.",,,,"Wire hangers get tangled in the machinery at the recycling processing facility, which is why they can’t be recycled.",,,,,,,,,,,,
1,4,7,Wood Clothes Hangers,,,,"Wood clothes hangers go in the garbage.
",,,,,Donate wood clothes hangers in good condition to local thrift stores.,,,,,,,,,,,,,,,,
